 Campaign_ID ,Campaign_Name,Start_Date,End_Date,Channel,Impressions,Clicks ,Spend,Conversions,Active,Clicks,Campaign_Tag
CMP-00001,Q4_Summer_CMP-00001,2023-11-24 00:00:00,2023-12-13,TikTok,16795,197,$102.82,20.0,Y,,TI
CMP-00002,Q1_Launch_CMP-00002,2023-05-06 00:00:00,2023-05-12,Facebook,1860,30,24.33,1.0,0,,FA
CMP-00003,Q3_Winter_CMP-00003,2023-12-13 00:00:00,2023-12-20,Email,77820,843,1323.39,51.0,No,,EM
CMP-00004,Q1_BlackFriday_CMP-00004,2023-10-30,2023-11-03,TikTok,55886,2019,2180.38,135.0,True,,TI
CMP-00005,Q2_Winter_CMP-00005,2023-04-22 00:00:00,2023-04-23,Facebook,7265,169,252.44,30.0,Yes,,FA
CMP-00006,Q4_BlackFriday_CMP-00006,2023-10-15 00:00:00,2023-10-28,Instagram,83386,2643,2697.03,,1,,IN
CMP-00007,Q3_Launch_CMP-00007,2023-10-07 00:00:00,2023-10-23,Facebook,38194,1135,1232.76,178.0,Yes,,FA
CMP-00008,Q4_Launch_CMP-00008,2023-05-23,2023-05-28,Instagram,88498,1173,865.7,127.0,1,,IN
CMP-00009,Q4_BlackFriday_CMP-00009,2023-03-23 00:00:00,2023-04-01,Google Ads,45131,1179,1046.18,104.0,1,,GO
CMP-00010,Q2_Winter_CMP-00010,2023-03-21 00:00:00,2023-04-01,Email,61263,1153,1623.56,,0,,EM
CMP-00011,Q4_Launch_CMP-00011,22/02/2023,2023-03-01,Instagram,17023,455,523.13,76.0,1,,IN
CMP-00012,Q4_Launch_CMP-00012,2023-02-19 00:00:00,2023-02-20,Google Ads,42090,763,1267.69,109.0,False,,GO
CMP-00013,Q2_Launch_CMP-00013,2023-05-16 00:00:00,2023-06-01,Google Ads,68221,2975,5292.16,567.0,No,,GO
CMP-00014,Q1_Launch_CMP-00014,2023-10-02 00:00:00,2023-10-15,TikTok,65820,1116,1464.72,169.0,Y,,TI
CMP-00015,Q2_Summer_CMP-00015,2023-02-10 00:00:00,2023-02-16,Google Ads,1769,85,139.18,11.0,Yes,,GO
CMP-00016,Q2_BlackFriday_CMP-00016,2023-11-13 00:00:00,2023-11-23,E-mail,60735,1617,1552.9,228.0,Y,,E-
CMP-00017,Q1_Winter_CMP-00017,2023-04-09,2023-10-01,Email,63955,2804,3147.37,536.0,No,,EM
CMP-00018,Q1_BlackFriday_CMP-00018,2023-04-27 00:00:00,2023-05-25,Instagram,65925,2317,3635.76,389.0,True,,IN
CMP-00019,Q4_Winter_CMP-00019,2023-04-30 00:00:00,2023-05-18,Facebook,68969,2718,2933.59,145.0,No,,FA
CMP-00020,Q1_Summer_CMP-00020,2023-08-21 00:00:00,2023-08-30,Email,6311,256,353.99,,Yes,,INVALID
CMP-00021,Q3_BlackFriday_CMP-00021,2023-07-09 00:00:00,2023-07-17,Facebook,84104,2539,1975.49,,Y,,FA
CMP-00022,Q2_BlackFriday_CMP-00022,2023-12-26 00:00:00,2024-01-02,Google Ads,54707,1735,$2428.4,,Y,,GO
CMP-00023,Q4_Winter_CMP-00023,2023-11-08 00:00:00,2023-11-24,Google Ads,86305,2637,$4726.22,216.0,0,86385.0,GO
CMP-00024,Q4_Winter_CMP-00024,2023-05-06 00:00:00,2023-05-01,Instagram,29693,995,1793.94,179.0,0,,IN
CMP-00025,Q2_Winter_CMP-00025,2023-11-24 00:00:00,2023-12-18,Email,72932,815,1293.01,157.0,No,,EM
CMP-00026,Q1_Winter_CMP-00026,2023-06-16 00:00:00,2023-07-02,Google Ads,94016,2427,3928.42,207.0,No,,GO
CMP-00027,Q1_Winter_CMP-00027,2023-04-28 00:00:00,2023-05-12,TikTok,26658,912,1219.24,166.0,True,,TI
CMP-00028,Q4_Summer_CMP-00028,2023-07-25 00:00:00,2023-08-08,Email,85478,2898,3990.55,187.0,1,,EM
CMP-00029,Q4_BlackFriday_CMP-00029,2023-10-18 00:00:00,2023-11-15,Instagram,19431,810,567.39,47.0,Yes,,IN
CMP-00030,Q1_Summer_CMP-00030,2023-12-02 00:00:00,2023-12-08,Instagram,3747,135,157.38,9.0,0,,IN
CMP-00031,Q1_Launch_CMP-00031,2023-11-26 00:00:00,2023-12-12,Google Ads,60150,2988,3514.38,175.0,Yes,,GO
CMP-00032,Q2_Summer_CMP-00032,2023-05-07 00:00:00,2023-05-29,Instagram,66725,1424,$2759.35,251.0,True,,IN
CMP-00033,Q2_BlackFriday_CMP-00033,2023-10-27 00:00:00,2023-10-29,Instagram,85654,2087,$2393.02,122.0,0,,IN
CMP-00034,Q2_Summer_CMP-00034,2023-07-05 00:00:00,2023-07-17,Facebook,36773,932,1233.98,84.0,0,,FA
CMP-00035,Q2_Summer_CMP-00035,2023-09-18 00:00:00,2023-09-22,Instagram,68435,1959,2546.46,128.0,1,,IN
CMP-00036,Q1_Launch_CMP-00036,2023-02-26 00:00:00,2023-03-01,TikTok,57886,2514,3658.23,237.0,Yes,,TI
CMP-00037,Q2_Winter_CMP-00037,2023-12-15,2023-12-26,Instagram,67803,1317,$2136.63,83.0,Yes,,IN
CMP-00038,Q4_Winter_CMP-00038,2023-07-15 00:00:00,2023-08-07,TikTok,32551,1335,$1118.15,200.0,Yes,,TI
CMP-00039,Q3_Launch_CMP-00039,2023-05-09 00:00:00,2023-05-25,Email,12394,324,418.96,22.0,1,,EM
